Identifiant de document,Reference document,1 Articles CGI,2 Articles CGI,3 Articles CGI,4 Articles CGI,5 Articles CGI,No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain,prix_m2
,,,,,,,1,11/01/2022,Vente,534830.0,5.0,,RUE,7580,PRIVAT,33000.0,BORDEAUX,33,63,,IA,22,,,,,,,,,,,,0,1.0,Maison,,56.0,3,S,,214.0,9550.535714285714
,,,,,,,1,05/01/2022,Vente,192000.0,44.0,,BD,3965,GEORGE V,33000.0,BORDEAUX,33,63,,EV,30,,187,,188,,189,,,,,,3,4.0,Local industriel. commercial ou assimilé,,37.0,0,,,,5189.189189189189
,,,,,,,1,05/01/2022,Vente,192000.0,44.0,,BD,3965,GEORGE V,33000.0,BORDEAUX,33,63,,EV,30,,160,,161,,162,,,,,,3,4.0,Local industriel. commercial ou assimilé,,37.0,0,,,,5189.189189189189
,,,,,,,1,05/01/2022,Vente,192000.0,44.0,,BD,3965,GEORGE V,33000.0,BORDEAUX,33,63,,EV,30,,158,,,,,,,,,,1,4.0,Local industriel. commercial ou assimilé,,12.0,0,,,,16000.0
,,,,,,,1,05/01/2022,Vente,192000.0,44.0,,BD,3965,GEORGE V,33000.0,BORDEAUX,33,63,,EV,30,,159,,,,,,,,,,1,4.0,Local industriel. commercial ou assimilé,,12.0,0,,,,16000.0
,,,,,,,1,05/01/2022,Vente,192000.0,44.0,,BD,3965,GEORGE V,33000.0,BORDEAUX,33,63,,EV,30,,24,,,,,,,,,,1,4.0,Local industriel. commercial ou assimilé,,12.0,0,,,,16000.0
,,,,,,,1,05/01/2022,Vente,192000.0,44.0,,BD,3965,GEORGE V,33000.0,BORDEAUX,33,63,,EV,30,,3,,,,,,,,,,1,4.0,Local industriel. commercial ou assimilé,,12.0,0,,,,16000.0
,,,,,,,1,05/01/2022,Vente,192000.0,44.0,,BD,3965,GEORGE V,33000.0,BORDEAUX,33,63,,EV,30,,23,,,,,,,,,,1,4.0,Local industriel. commercial ou assimilé,,12.0,0,,,,16000.0
,,,,,,,1,05/01/2022,Vente,192000.0,44.0,,BD,3965,GEORGE V,33000.0,BORDEAUX,33,63,,EV,30,,14,,,,,,,,,,1,4.0,Local industriel. commercial ou assimilé,,12.0,0,,,,16000.0
,,,,,,,1,06/01/2022,Vente,170000.0,57.0,,RUE,3765,FURTADO,33800.0,BORDEAUX,33,63,,CW,108,,11,"36,15",,,,,,,,,1,2.0,Appartement,,27.0,1,,,,6296.2962962962965
,,,,,,,1,06/01/2022,Vente,170000.0,57.0,,RUE,3765,FURTADO,33800.0,BORDEAUX,33,63,,CW,108,,11,"36,15",,,,,,,,,1,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,17/01/2022,Vente,216410.0,70.0,,RUE,2935,DUPATY,33300.0,BORDEAUX,33,63,,RS,125,,228,,,,,,,,,,1,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,17/01/2022,Vente,216410.0,70.0,,RUE,2935,DUPATY,33300.0,BORDEAUX,33,63,,RS,125,,105,,,,,,,,,,1,2.0,Appartement,,44.0,2,,,,4918.409090909091
,,,,,,,1,11/01/2022,Vente,191000.0,7.0,,RUE,6835,OSCAR ET JEAN AURIAC,33800.0,BORDEAUX,33,63,,BY,114,,110,,150,,,,,,,,2,2.0,Appartement,,57.0,3,,,,3350.877192982456
,,,,,,,1,11/01/2022,Vente,191000.0,7.0,,RUE,6835,OSCAR ET JEAN AURIAC,33800.0,BORDEAUX,33,63,,BY,114,,110,,150,,,,,,,,2,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,11/01/2022,Vente,191000.0,1.0,,RUE,6835,OSCAR ET JEAN AURIAC,33800.0,BORDEAUX,33,63,,BY,114,,211,,,,,,,,,,1,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,03/01/2022,Vente,342400.0,35.0,,RUE,0450,AUDUBERT,33300.0,BORDEAUX,33,63,,SI,135,,,,,,,,,,,,0,1.0,Maison,,67.0,5,S,,209.0,5110.44776119403
,,,,,,,1,17/01/2022,Vente,35000.0,40.0,,RUE,9445,VITAL CARLES,33000.0,BORDEAUX,33,63,,KH,169,,36,"9,60",,,,,,,,,1,4.0,Local industriel. commercial ou assimilé,,7.0,0,,,,5000.0
